TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000976"	"transcription cis-regulatory region binding"	NaN	5.137970928415522	0.37429485653910227	0.8818998544627935	0.35479368	-5.5523282256985045	-4.811346038682418	null
"GO:1990837"	"sequence-specific double-stranded DNA binding"	NaN	5.209069768581363	0.4408726692453276	0.8802566953817553	0.90617826	null	null	976
"GO:0001067"	"transcription regulatory region nucleic acid binding"	NaN	5.138198454980942	0.3744910021471406	0.9047748856471467	0.113283	-6.852957831830636	-4.079956170795256	null
"GO:0001882"	"nucleoside binding"	NaN	4.272769586551759	0.05104961873652589	0.9105983426104802	0.09415563	-8.061326584303497	1.4647823284026182	null
"GO:0001883"	"purine nucleoside binding"	NaN	1.9822712330395684	0.0002588032328283238	0.9115125710722884	0.14658307	-7.538732421770179	3.1382065557951453	null
"GO:0032549"	"ribonucleoside binding"	NaN	4.266866441221181	0.05036038486383572	0.8828577910576775	0.74065249	null	null	1883
"GO:0032550"	"purine ribonucleoside binding"	NaN	0.6020599913279624	8.172733668262857E-06	0.9237350648694824	0.51919754	null	null	1883
"GO:0003690"	"double-stranded DNA binding"	NaN	5.383499400537682	0.6587849912867763	0.8901394725136418	0.27138798	-5.922243311417348	-4.396598171136365	null
"GO:0003700"	"DNA-binding transcription factor activity"	NaN	6.221101903037759	4.532603540907692	0.9351087230103193	-0	6.1606535000667115	-2.678421950822169	null
"GO:0140110"	"transcription regulator activity"	NaN	6.254202582560713	4.891571797574246	0.9485090073326008	0.80409095	null	null	3700
"GO:0003723"	"RNA binding"	NaN	6.281472442045765	5.208567618365157	0.8713721035731474	0.34709756	-6.177213823639116	-3.017925018515109	null
"GO:0003677"	"DNA binding"	NaN	6.637648108041512	11.827531128307996	0.85607025488303	0.50546017	null	null	3723
"GO:0003735"	"structural constituent of ribosome"	NaN	5.9203065056385995	2.2675249562595297	1	-0	-3.509282641583393	-7.563150075067647	null
"GO:0004518"	"nuclease activity"	NaN	5.8799269556700935	2.066200559320098	0.9141589376231691	0.35327272	0.6517852383516434	-6.604979624935226	null
"GO:0004519"	"endonuclease activity"	NaN	5.66608253186345	1.2627799760615182	0.912991540603968	0.69062253	null	null	4518
"GO:0004540"	"RNA nuclease activity"	NaN	5.441764240295117	0.7533707622741384	0.834503234607655	0.82056372	null	null	4518
"GO:0005102"	"signaling receptor binding"	NaN	5.39749854117494	0.6803664566601023	0.9248281235150375	0.05552343	5.367822983804618	3.0214239614930665	null
"GO:0005126"	"cytokine receptor binding"	NaN	4.680888229680237	0.1306547689099622	0.9168156847622216	0.48661497	5.166947167912628	3.2695704815998248	null
"GO:0005125"	"cytokine activity"	NaN	4.64413319574683	0.12005200909766918	0.7639736907893385	0.90219184	null	null	5126
"GO:0030546"	"signaling receptor activator activity"	NaN	5.146778989307833	0.38196360496448895	0.8146639338683834	0.99194286	null	null	5126
"GO:0048018"	"receptor ligand activity"	NaN	5.145631415290328	0.38095563447873654	0.7427889809370689	0.81180904	null	null	5126
"GO:0005198"	"structural molecule activity"	NaN	6.059660337676418	3.1254031881943005	1	-0	-5.6404657215828315	5.56301603130468	null
"GO:0005215"	"transporter activity"	NaN	6.526186601216127	9.150241651389104	1	-0	2.5661820010451795	6.103327660232768	null
"GO:0005525"	"GTP binding"	NaN	5.85453558017203	1.9488618978002925	0.8417625438988487	0.26018747	-6.523468231136025	0.5207811081587568	null
"GO:0032561"	"guanyl ribonucleotide binding"	NaN	5.866906727002255	2.0051747570191796	0.8474944959001923	0.97597655	null	null	5525
"GO:0008168"	"methyltransferase activity"	NaN	5.993576416646695	2.684244473270584	0.9361076736703697	0.04954206	-1.2530793318861642	6.3475956881818245	null
"GO:0008233"	"peptidase activity"	NaN	6.199625198471322	4.313909360678647	0.9180230683608838	0.41800671	2.135095130774972	-6.1510308373844635	null
"GO:0008270"	"zinc ion binding"	NaN	6.141802083166779	3.776138036817838	0.9338088775514083	0.06885338	-4.872201043383336	2.862931368244199	null
"GO:0015035"	"protein-disulfide reductase activity"	NaN	4.838735781744508	0.18792111372348003	0.9434281321880577	0.32582406	4.334680678996539	-5.045404538008677	null
"GO:0015036"	"disulfide oxidoreductase activity"	NaN	4.957578556596107	0.2470699115252544	0.9527032837157227	0.86542379	null	null	15035
"GO:0016667"	"oxidoreductase activity, acting on a sulfur group of donors"	NaN	5.2458875784513115	0.4798784027993901	0.9656597440840122	0.03973523	5.098745778013399	-4.524192590423025	null
"GO:0016741"	"transferase activity, transferring one-carbon groups"	NaN	6.030594864964157	2.9230789935027857	0.9355067184497013	0.34164849	-0.8186392388560583	5.892537803539444	null
"GO:0016772"	"transferase activity, transferring phosphorus-containing groups"	NaN	6.489416608625498	8.40741643979158	0.9274442893869368	0.40656643	-0.782515934889748	6.4411316068799875	null
"GO:0016779"	"nucleotidyltransferase activity"	NaN	5.809528067217635	1.757006974937822	0.9224367078024638	0.31894313	-0.2774528309899297	6.312951518635025	null
"GO:0016788"	"hydrolase activity, acting on ester bonds"	NaN	6.262410743560265	4.984901691821251	0.9264978310548933	0.05436651	1.4676099477679776	-6.669694910244682	null
"GO:0016817"	"hydrolase activity, acting on acid anhydrides"	NaN	6.273258992784251	5.110987902610654	0.9262710408310113	0.40827481	1.123835446958977	-6.246311028914234	null
"GO:0016818"	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	NaN	6.271504955927325	5.090387165277519	0.9263077733551128	0.40656843	1.1209602243802381	-6.908635686837169	null
"GO:0016829"	"lyase activity"	NaN	6.106446569406796	3.4809062057855114	0.9766851832274146	-0	2.0161117580363945	3.36376271818299	null
"GO:0016835"	"carbon-oxygen lyase activity"	NaN	5.662800314933374	1.2532723625607725	0.9793891243067723	0.04466525	-4.059538258556094	6.289107732017377	null
"GO:0019001"	"guanyl nucleotide binding"	NaN	5.867574133246042	2.008258601856671	0.8686424601512986	0.37418744	-7.243919757569794	-0.397152322525603	null
"GO:0019843"	"rRNA binding"	NaN	5.629163837160828	1.1598689137107523	0.8927900994374454	0.25612667	-5.344730357663547	-3.715284285188249	null
"GO:0020037"	"heme binding"	NaN	5.731088918134624	1.466676059861896	0.9206569758021359	0.06079712	-3.2534575059400175	-1.955223842313679	null
"GO:0022803"	"passive transmembrane transporter activity"	NaN	5.739731319340549	1.4961551102033201	0.8730036904848415	0.01339777	3.9092592381978784	5.094804054746442	null
"GO:0005216"	"monoatomic ion channel activity"	NaN	5.670583506378557	1.2759353530228654	0.8329213131481644	0.84812384	null	null	22803
"GO:0005261"	"monoatomic cation channel activity"	NaN	5.472836866775437	0.8092477423640514	0.8389534193773757	0.90199624	null	null	22803
"GO:0008324"	"monoatomic cation transmembrane transporter activity"	NaN	5.920190135687349	2.266917449723522	0.8383783251056168	0.5838746	null	null	22803
"GO:0015075"	"monoatomic ion transmembrane transporter activity"	NaN	6.020042074955836	2.8529079022270807	0.8393610177099131	0.86406322	null	null	22803
"GO:0015078"	"proton transmembrane transporter activity"	NaN	5.441794077542375	0.753422522920704	0.8462869639850815	0.81743072	null	null	22803
"GO:0015267"	"channel activity"	NaN	5.739730528564717	1.4961523859587642	0.8510157278639938	0.96672423	null	null	22803
"GO:0015318"	"inorganic molecular entity transmembrane transporter activity"	NaN	5.953259893135092	2.4462762628072183	0.8659341892870875	0.57006954	null	null	22803
"GO:0022857"	"transmembrane transporter activity"	NaN	6.519949998953488	9.019780303842623	0.8449010774747119	0.71041413	null	null	22803
"GO:0022890"	"inorganic cation transmembrane transporter activity"	NaN	5.841340070700334	1.8905385460990125	0.8617036487365552	0.53576534	null	null	22803
"GO:0030545"	"signaling receptor regulator activity"	NaN	5.156288617653177	0.3904196600665849	0.8286907870412743	-0	-2.0601236563504313	-7.805708937271131	null
"GO:0004857"	"enzyme inhibitor activity"	NaN	5.212688219825975	0.4445612963742703	0.8050262027069486	0.79203496	null	null	30545
"GO:0004866"	"endopeptidase inhibitor activity"	NaN	4.946024638036243	0.24058348523720977	0.8017374332881323	0.9334726	null	null	30545
"GO:0004867"	"serine-type endopeptidase inhibitor activity"	NaN	4.766977657428919	0.1593002004172235	0.8073676814396393	0.96312103	null	null	30545
"GO:0030234"	"enzyme regulator activity"	NaN	5.755743785631302	1.5523481026617394	0.8090769836539184	0.78144314	null	null	30545
"GO:0030414"	"peptidase inhibitor activity"	NaN	4.979866922564903	0.26008090352512886	0.8011232923470012	0.98229454	null	null	30545
"GO:0061134"	"peptidase regulator activity"	NaN	5.003938509932801	0.27490351815480163	0.8268822252190094	0.66321779	null	null	30545
"GO:0061135"	"endopeptidase regulator activity"	NaN	4.950028779091997	0.24281191728408946	0.8072828617187779	0.97594245	null	null	30545
"GO:0035639"	"purine ribonucleoside triphosphate binding"	NaN	6.751462408407606	15.371222998377657	0.8306531769537556	0.45387631	-5.638635552677834	-0.5424912985162473	null
"GO:0017076"	"purine nucleotide binding"	NaN	6.796285285522617	17.04242171828783	0.8260302017282789	0.72393094	null	null	35639
"GO:0032553"	"ribonucleotide binding"	NaN	6.771255350111665	16.087974465328866	0.8172377886057005	0.81395785	null	null	35639
"GO:0032555"	"purine ribonucleotide binding"	NaN	6.759255031031581	15.649520925249345	0.816136723420907	0.70388585	null	null	35639
"GO:0038023"	"signaling receptor activity"	NaN	5.847263484436308	1.9165005967185276	1	-0	3.595903312568856	-1.9087103568647783	null
"GO:0043565"	"sequence-specific DNA binding"	NaN	5.779551760951278	1.6398235953577127	0.8790069987077054	0.41218231	-6.0822470898238175	-3.714202782705471	null
"GO:0046914"	"transition metal ion binding"	NaN	6.348273312258155	6.074621308212747	0.9297198804907967	0.45554625	-4.508156440881027	2.5063233384309513	null
"GO:0051536"	"iron-sulfur cluster binding"	NaN	5.88624135728082	2.0964614678491196	0.9547581190602967	-0	6.412537605803998	-0.978477172227571	null
"GO:0051540"	"metal cluster binding"	NaN	5.886473804278622	2.097583856606228	0.954755028043574	0.06361141	1.4735666456050243	0.7237215699420112	null
"GO:0060089"	"molecular transducer activity"	NaN	5.873575173752837	2.0362011782684615	1	-0	0.5965748936941732	-1.9882601067503791	null
"GO:0097367"	"carbohydrate derivative binding"	NaN	6.784571935372719	16.58891400279137	0.938469745447638	0.09692118	-1.1449512468008913	1.7155021626852156	null
"GO:0098772"	"molecular function regulator activity"	NaN	5.881961240637264	2.075901594184326	1	0	6.452402541095679	0.8595370253156714	null
"GO:0140098"	"catalytic activity, acting on RNA"	NaN	6.1098453856077946	3.508254896884074	0.9209349370192187	0.05443353	4.179983649877996	0.49979153329069037	null
"GO:0003899"	"DNA-directed 5'-3' RNA polymerase activity"	NaN	5.0508474440822555	0.3062595729953701	0.8531250051105924	0.55746832	null	null	140098
"GO:0034062"	"5'-3' RNA polymerase activity"	NaN	5.089615485231996	0.3348559681006218	0.8825605940049916	0.98890246	null	null	140098
"GO:0097747"	"RNA polymerase activity"	NaN	5.0896260847173975	0.3348641408342901	0.8900324249889067	0.69126986	null	null	140098
